id,title,year,venue,intersection_context,traffic_context,method_family,coordination_architecture,evidence_level,paper_url,code_url,code_status,bibtex_key,last_verified
levin-2017-conflict-point,Conflict-Point Formulation of Intersection Control for Autonomous Vehicles,2017,Transportation Research Part C,non-signalized,full CAV,optimization,centralized,single-domain-simulation,https://doi.org/10.1016/j.trc.2017.09.025,,not-found,Levin2017ConflictPoint,2026-08-27
feng-2018-spatiotemporal,Spatiotemporal Intersection Control in a Connected and Automated Vehicle Environment,2018,Transportation Research Part C,signalized,high CAV,optimization,centralized,single-domain-simulation,https://doi.org/10.1016/j.trc.2018.02.001,,not-found,Feng2018Spatiotemporal,2026-08-27
fayazi-2018-milp,Mixed-Integer Linear Programming for Optimal Scheduling of Autonomous Vehicle Intersection Crossing,2018,IEEE T-IV,non-signalized,full CAV,optimization,centralized,analytical,https://doi.org/10.1109/TIV.2018.2843163,,not-found,Fayazi2018MILP,2026-08-27
bashiri-2018-paim,PAIM: Platoon-Based Autonomous Intersection Management,2018,IEEE ITSC,non-signalized,full CAV,optimization,centralized,single-domain-simulation,https://doi.org/10.1109/ITSC.2018.8569782,,not-found,Bashiri2018PAIM,2026-08-27
xu-2018-distributed-conflict-free,Distributed Conflict-Free Cooperation for Multiple Connected Vehicles at Unsignalized Intersections,2018,Transportation Research Part C,non-signalized,full CAV,cooperative-v2x,decentralized,single-domain-simulation,https://www.researchgate.net/profile/Biao_Xu14/publication/326745925_Distributed_conflict-free_cooperation_for_multiple_connected_vehicles_at_unsignalized_intersections/links/5b681876a6fdcc188348152f/Distributed-conflict-free-cooperation-for-multiple-connected-vehicles-at-unsignalized-intersections.pdf,,not-found,Xu2018DistributedCC,2026-08-27
intellilight-2018,IntelliLight: A Reinforcement Learning Approach for Intelligent Traffic Light Control,2018,ACM KDD,signalized,HDV,learning,centralized,single-domain-simulation,https://doi.org/10.1145/3219819.3220096,,not-found,Wei2018IntelliLight,2026-08-27
dcrnn-2018,Diffusion Convolutional Recurrent Neural Network: Data-Driven Traffic Forecasting,2018,ICLR,both,varied,prediction-estimation,not-applicable,field-data,https://openreview.net/forum?id=SJiHXGWAZ,https://github.com/liyaguang/DCRNN,official,Li2018DCRNN,2026-08-27
presslight-2019,PressLight: Learning Max Pressure Control to Coordinate Traffic Signals in Arterial Network,2019,ACM KDD,signalized,HDV,learning,decentralized,single-domain-simulation,https://doi.org/10.1145/3292500.3330949,https://github.com/wingsweihua/presslight,official,Wei2019PressLight,2026-08-27
colight-2019,CoLight: Learning Network-Level Cooperation for Traffic Signal Control,2019,ACM CIKM,signalized,HDV,learning,decentralized,single-domain-simulation,https://doi.org/10.1145/3357384.3357902,https://github.com/wingsweihua/colight,official,Wei2019CoLight,2026-08-27
frap-2019,Learning Phase Competition for Traffic Signal Control,2019,ACM CIKM,signalized,HDV,learning,centralized,single-domain-simulation,https://doi.org/10.1145/3357384.3357900,,not-found,Zheng2019FRAP,2026-08-27
buckman-2019-negotiation,Sharing Is Caring: Socially-Compliant Autonomous Intersection Negotiation,2019,IEEE/RSJ IROS,non-signalized,full CAV,optimization,decentralized,single-domain-simulation,https://doi.org/10.1109/IROS40897.2019.8967997,,not-found,Buckman2019Negotiation,2026-08-27
wang-2020-eco-driving,Cooperative Eco-Driving at Signalized Intersections in a Partially Connected and Automated Vehicle Environment,2020,IEEE T-ITS,signalized,mixed,cooperative-v2x,hierarchical,single-domain-simulation,https://doi.org/10.1109/TITS.2019.2911607,,not-found,Wang2020CooperativeEcoDriving,2026-08-27
tan-2021-sparse-queue,Cycle-Based Queue Length Estimation for Signalized Intersections Using Sparse Vehicle Trajectory Data,2021,IEEE T-ITS,signalized,low CV,prediction-estimation,not-applicable,field-data,https://doi.org/10.1109/TITS.2019.2954937,,not-found,Tan2021QueueLength,2026-08-27
tajalli-2022-mixed-autonomy,Traffic Signal Timing and Trajectory Optimization in a Mixed Autonomy Traffic Stream,2022,IEEE T-ITS,signalized,mixed,optimization,hierarchical,single-domain-simulation,https://doi.org/10.1109/TITS.2021.3058193,,not-found,Tajalli2022MixedAutonomy,2026-08-27
katriniok-2022-distributed-mpc,Fully Distributed Model Predictive Control of Connected Automated Vehicles in Intersections: Theory and Vehicle Experiments,2022,IEEE T-ITS,non-signalized,full CAV,optimization,decentralized,controlled-physical,https://doi.org/10.1109/TITS.2022.3162038,,not-found,Katriniok2022DistributedMPC,2026-08-27
xu-2022-safe-optimal-control,A General Framework for Decentralized Safe Optimal Control of Connected and Automated Vehicles in Multi-Lane Signal-Free Intersections,2022,IEEE T-ITS,non-signalized,full CAV,optimization,decentralized,single-domain-simulation,https://doi.org/10.1109/TITS.2022.3151080,,not-found,Xu2022SafeOptimalControl,2026-08-27
li-2023-coor-plt,COOR-PLT: Hierarchical Control for Coordinating Adaptive CAV Platoons at Signal-Free Intersections,2023,Transportation Research Part C,non-signalized,full CAV,learning,hierarchical,single-domain-simulation,https://doi.org/10.1016/j.trc.2022.103933,,not-found,Li2023COORPLT,2026-08-27
chen-2023-traffic-regulators,Mixed-Traffic Intersection Management Utilizing Connected and Autonomous Vehicles as Traffic Regulators,2023,ASP-DAC,non-signalized,mixed,cooperative-v2x,hierarchical,single-domain-simulation,https://doi.org/10.1145/3566097.3567849,,not-found,Chen2023MixedTrafficRegulators,2026-08-27
luo-2023-real-time-coordination,Real-Time Cooperative Vehicle Coordination at Unsignalized Road Intersections,2023,IEEE T-ITS,non-signalized,full CAV,cooperative-v2x,decentralized,single-domain-simulation,https://doi.org/10.1109/TITS.2023.3243940,,not-found,Luo2023RealTimeCooperative,2026-08-27
li-2023-collection-auctions,Collection Auctions-Based Autonomous Intersection Management,2023,Machines,non-signalized,full CAV,optimization,centralized,single-domain-simulation,https://doi.org/10.3390/machines11050573,,not-found,Li2023CollectionAuctions,2026-08-27
mtd-gpt-2023,MTD-GPT: A Multi-Task Decision-Making GPT Model for Autonomous Driving at Unsignalized Intersections,2023,IEEE ITSC,non-signalized,mixed,foundation-model-assisted,centralized,single-domain-simulation,https://doi.org/10.1109/ITSC57777.2023.10421993,,not-found,Liu2023MTDGPT,2026-08-27
promptgat-2024,Prompt to Transfer: Sim-to-Real Transfer for Traffic Signal Control with Prompt Learning,2024,AAAI,signalized,HDV,foundation-model-assisted,hierarchical,single-domain-simulation,https://doi.org/10.1609/aaai.v38i1.27758,https://github.com/DaRL-LibSignal/PromptGAT,official,Da2024PromptGAT,2026-08-27
trafficgpt-2024,TrafficGPT: Viewing Processing and Interacting with Traffic Foundation Models,2024,Transport Policy,both,varied,foundation-model-assisted,hierarchical,demonstration,https://doi.org/10.1016/j.tranpol.2024.03.006,https://github.com/lijlansg/TrafficGPT,official,Zhang2024TrafficGPT,2026-08-27
zhao-2024-cobt,Constraint-Guided Behavior Transformer for Centralized Coordination of CAVs at Intersections,2024,Sensors,non-signalized,full CAV,learning,centralized,single-domain-simulation,https://doi.org/10.3390/s24165187,,not-found,Zhao2024CoBT,2026-08-27
zhou-2024-rgrl,Reasoning Graph-Based Reinforcement Learning for Mixed CAV Traffic at Unsignalized Intersections,2024,Transportation Research Part C,non-signalized,mixed,learning,decentralized,single-domain-simulation,https://doi.org/10.1016/j.trc.2024.104807,,not-found,Zhou2024RGRL,2026-08-27
pappas-2024-uncertainty,Efficient Mixed Traffic Intersection Management under Uncertainty,2024,IFAC-PapersOnLine,non-signalized,mixed,optimization,centralized,single-domain-simulation,https://doi.org/10.1016/j.ifacol.2024.07.334,,not-found,Pappas2024MixedTrafficUncertainty,2026-08-27
pourjafari-2024-predictive,Navigating Unsignalized Intersections: A Predictive Approach for Safe and Cautious Autonomous Driving,2024,IEEE T-IV,non-signalized,mixed,prediction-estimation,centralized,single-domain-simulation,https://doi.org/10.1109/TIV.2023.3321275,,not-found,Pourjafari2024PredictiveUnsignalized,2026-08-27
maplm-2024,MAPLM: A Real-World Large-Scale Vision-Language Benchmark for Map and Traffic Scene Understanding,2024,CVPR,both,varied,foundation-model-assisted,not-applicable,benchmark,https://doi.org/10.1109/CVPR52733.2024.02061,,not-found,Cao2024MAPLM,2026-08-27
mllm-ad-survey-2024,A Survey on Multimodal Large Language Models for Autonomous Driving,2024,WACV Workshops,both,varied,foundation-model-assisted,not-applicable,review,https://openaccess.thecvf.com/content/WACV2024W/LLVM-AD/html/Cui_A_Survey_on_Multimodal_Large_Language_Models_for_Autonomous_Driving_WACVW_2024_paper.html,,not-found,Cui2024MLLMAD,2026-08-27
movahedi-2025-crossroads,The Crossroads of LLM and Traffic Control: Large Language Models in Adaptive Traffic Signal Control,2025,IEEE T-ITS,signalized,HDV,foundation-model-assisted,centralized,single-domain-simulation,https://doi.org/10.1109/TITS.2024.3498735,,not-found,Movahedi2025Crossroads,2026-08-27
llmlight-2025,LLMLight: Large Language Models as Traffic Signal Control Agents,2025,ACM KDD,signalized,HDV,foundation-model-assisted,centralized,single-domain-simulation,https://doi.org/10.1145/3690624.3709379,https://github.com/usail-hkust/LLMTSCS,official,Lai2025LLMLight,2026-08-27
vlmlight-2025,VLMLight: Safety-Critical Traffic Signal Control via Vision-Language Meta-Control,2025,NeurIPS,signalized,multimodal,foundation-model-assisted,hierarchical,single-domain-simulation,https://mlanthology.org/neurips/2025/wang2025neurips-vlmlight/,,not-found,Wang2025VLMLight,2026-08-27
zhao-2025-multi-agent-prediction,Multi-Agent Trajectory Prediction at Unsignalized Intersections Accounting for Collision Avoidance Behaviors,2025,Transportation Research Part C,non-signalized,mixed,prediction-estimation,not-applicable,field-data,https://doi.org/10.1016/j.trc.2024.104974,,not-found,Zhao2025MultiAgentPrediction,2026-08-27
collmlight-2026,CoLLMLight: Cooperative Large Language Model Agents for Network-Wide Traffic Signal Control,2026,ICLR,signalized,HDV,foundation-model-assisted,decentralized,single-domain-simulation,https://openreview.net/forum?id=KeJqoEVOeY,https://github.com/usail-hkust/CoLLMLight,official,Yuan2026CoLLMLight,2026-08-27
zhou-2026-mixed-autonomy,Unsignalized Intersection Management Strategy for Mixed Autonomy Traffic Streams,2026,IEEE T-VT,non-signalized,mixed,optimization,hierarchical,single-domain-simulation,https://doi.org/10.1109/TVT.2025.3630320,,not-found,Zhou2026MixedAutonomy,2026-08-27
vla-ad-survey-2025,A Survey on Vision-Language-Action Models for Autonomous Driving,2025,ICCV Workshops,both,varied,foundation-model-assisted,not-applicable,review,https://openaccess.thecvf.com/content/ICCV2025W/,,not-found,Jiang2025VLAAD,2026-08-27
