id,name,year,context,data_provided,acquisition,participants,scale,tasks,url,bibtex_key,last_verified
imptc,IMPTC,2023,signalized,trajectories; signal; sensor; map,infrastructure,vehicles and VRUs,single,safety assessment; perception; interaction analysis,https://doi.org/10.1109/IV55152.2023.10186776,IMPTC,2026-08-27
songdo,Songdo Traffic,2025,signalized,trajectories; map,aerial,vehicles,multi-site,traffic optimization; interaction analysis,https://doi.org/10.1016/j.trc.2025.105205,Fonod2025Songdo,2026-08-27
drift,DRIFT,2025,signalized,trajectories; map,aerial,vehicles,network,traffic optimization; safety assessment; interaction analysis,https://doi.org/10.48550/arXiv.2504.11019,DRIFT,2026-08-27
dlr-ut,DLR-UT,2025,signalized,trajectories; signal; sensor; map,infrastructure,vehicles and VRUs,single,traffic optimization; safety assessment; interaction analysis,https://doi.org/10.1109/IV64158.2025.11097400,Schicktanz2025DLRUT,2026-08-27
fluid,FLUID,2026,signalized,trajectories; signal; map; annotations,aerial,vehicles and VRUs,multi-site,safety assessment; interaction analysis,https://doi.org/10.1038/s41597-026-07110-9,Chen2026FLUID,2026-08-27
sit-pet,SIT-PET,2026,signalized,trajectories; signal; annotations,infrastructure,vehicles and VRUs,single,safety assessment; interaction analysis,https://doi.org/10.3390/data11040068,Steinmassl2026SITPET,2026-08-27
tgsim-foggy-bottom,TGSIM Foggy Bottom,2024,both,trajectories; annotations,infrastructure,vehicles and VRUs,multi-site,motion planning; safety assessment; interaction analysis,https://doi.org/10.21949/1404230,TGSIM_FoggyBottom,2026-08-27
waymo-motion,Waymo Open Motion Dataset,2021,both,trajectories; signal; map,onboard,vehicles and VRUs,multi-site,motion planning; interaction analysis,https://waymo.com/open/download/,Ettinger2021WaymoMotion,2026-08-27
argoverse-2,Argoverse 2,2023,both,trajectories; sensor; map,onboard,vehicles and VRUs,multi-site,motion planning; perception,https://www.argoverse.org/av2.html,Wilson2023Argoverse2,2026-08-27
nuplan,nuPlan,2024,both,trajectories; signal; sensor; map; annotations,onboard,vehicles and VRUs,multi-site,motion planning,https://www.nuscenes.org/nuplan,Karnchanachari2024nuPlan,2026-08-27
ips300,IPS300+,2022,signalized,sensor; map,infrastructure,vehicles and VRUs,single,perception,https://doi.org/10.1109/ICRA46639.2022.9811699,Wang2022IPS300,2026-08-27
lumpi,LUMPI,2022,signalized,trajectories; sensor; map,infrastructure,vehicles and VRUs,single,perception; interaction analysis,https://doi.org/10.1109/IV51971.2022.9827157,LUMPI,2026-08-27
tumtraf-i,TUMTraf-I,2023,signalized,sensor; map,infrastructure,vehicles and VRUs,single,perception,https://tum-traffic-dataset.github.io/tumtraf-i/,Zimmer2023TUMTrafI,2026-08-27
opv2v,OPV2V,2022,both,sensor; V2X,onboard cooperative,vehicles,multi-site,V2X cooperation; perception,https://mobility-lab.seas.ucla.edu/opv2v/,Xu2022OPV2V,2026-08-27
v2x-sim,V2X-Sim,2022,both,sensor; V2X; map,onboard infrastructure cooperative,vehicles and VRUs,multi-site,V2X cooperation; perception,https://ai4ce.github.io/V2X-Sim/,Li2022V2XSim,2026-08-27
v2xset,V2XSet,2022,both,sensor; V2X,onboard infrastructure cooperative,vehicles,multi-site,V2X cooperation; perception,https://github.com/DerrickXuNu/v2x-vit,Xu2022V2XViT,2026-08-27
dair-v2x,DAIR-V2X,2022,both,sensor; V2X,onboard infrastructure cooperative,vehicles and VRUs,multi-site,V2X cooperation; perception,https://thudair.baai.ac.cn/index,Yu2022DAIRV2X,2026-08-27
v2x-seq,V2X-Seq,2023,signalized,trajectories; signal; sensor; V2X; map,onboard infrastructure cooperative,vehicles and VRUs,multi-site,V2X cooperation; motion planning; perception,https://github.com/AIR-THU/DAIR-V2X-Seq,Yu2023V2XSeq,2026-08-27
tumtraf-v2x,TUMTraf-V2X,2024,signalized,trajectories; sensor; V2X; map,onboard infrastructure cooperative,vehicles and VRUs,multi-site,V2X cooperation; perception,https://tum-traffic-dataset.github.io/tumtraf-v2x/,Zimmer2024TUMTrafV2X,2026-08-27
v2v4real,V2V4Real,2023,both,sensor; V2X; map,onboard cooperative,vehicles,multi-site,V2X cooperation; perception,https://mobility-lab.seas.ucla.edu/v2v4real/,xu2023v2v4real,2026-08-27
rcooper,RCooper,2024,signalized,trajectories; sensor; V2X; map,infrastructure cooperative,vehicles and VRUs,multi-site,V2X cooperation; perception,https://github.com/AIR-THU/DAIR-RCooper,Hao2024RCooper,2026-08-27
holovic,HoloVIC,2024,signalized,trajectories; sensor; V2X; map,onboard infrastructure cooperative,vehicles and VRUs,multi-site,V2X cooperation; perception,https://github.com/PhyllisH/HoloVIC,Ma2024HoloVIC,2026-08-27
v2x-real,V2X-Real,2024,signalized,sensor; V2X; map,onboard infrastructure cooperative,vehicles and VRUs,multi-site,V2X cooperation; perception,https://github.com/ucla-mobility/V2X-Real,Xiang2024V2XReal,2026-08-27
urbaning-v2x,UrbanIng-V2X,2025,signalized,sensor; V2X; map,onboard infrastructure cooperative,vehicles and VRUs,multi-site,V2X cooperation; perception,https://doi.org/10.52202/085713-4130,Sekaran2025UrbanIngV2X,2026-08-27
v2x-radar,V2X-Radar,2025,both,sensor; V2X; map,onboard infrastructure cooperative,vehicles and VRUs,multi-site,V2X cooperation; perception,https://doi.org/10.52202/085713-3789,Yang2025V2XRadar,2026-08-27
intersection-safety-challenge,U.S. DOT Intersection Safety Challenge,2026,signalized,signal; sensor; map,infrastructure,vehicles and VRUs,single,safety assessment; perception,https://doi.org/10.21949/1404202,USDOT_IntersectionSafety,2026-08-27
ipc-2025,IPC 2025,2026,signalized,trajectories; sensor; V2X,onboard infrastructure cooperative,vehicles and VRUs,multi-site,V2X cooperation; safety assessment; perception,https://data.nlr.gov/submissions/314,Sandhu2026IPC,2026-08-27
multi-v2x,Multi-V2X,2024,both,sensor; V2X; map,onboard infrastructure cooperative,vehicles and VRUs,multi-site,V2X cooperation; perception,https://github.com/RadetzkyLi/Multi-V2X,Li2024MultiV2X,2026-08-27
cooperscene,CooperScene,2026,both,sensor; V2X; map,onboard infrastructure cooperative,vehicles,single,V2X cooperation; perception,https://github.com/UCR-CISL/CooperScene,Wu2026CooperScene,2026-08-27
